huc8,name,rsr_lt,n_lt,n_gages,max_drain_mi2,outlet_gage,headwater,tidal_hint,hard_reject,region,n_active,wtd_p10,wtd_p50,wtd_p90,frac_wtd_2_20,frac_wtd_le2,phi_mean,phi_p50,P_mean_mm,PET_mean_mm,stream_wtd_p10,stream_wtd_p50,upland_wtd_p50,corridor_contrast,track_label
10250003,South Fork Republican,75.5920251492673,2,5,2740.0,06827500,True,False,,interior,6459,1.2387712101888517,19.129078747002847,50.51498959410924,0.3828766062858028,0.13841151881096145,1.6876585464126446,1.6674634709678324,431.93858893753213,724.7268898556789,0.07763252262779687,0.2286787957872482,21.591241180406296,21.362562384619046,reject_rsr
10250005,Frenchman,0.951938415832863,4,7,2990.0,06835500,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
10260004,Upper Niobrara,,0,1,1432.0,06859500,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
11020001,Arkansas Headwaters,0.5851578295723948,17,33,2459.0,07094500,True,False,,interior,7597,0.41127574024740815,135.80377909746858,295.2290133084594,0.05344214821640121,0.17625378438857445,1.4188149046016796,1.5007942408306347,405.70438506044366,476.65855847646054,0.02799225644626349,0.12464721286614623,147.69416317841237,147.56951596554623,reject_rsr
11020002,Upper Arkansas,0.5448503381676149,13,34,6254.0,07109500,False,False,likely corridor (max gage drain >=5000 mi2),interior,,,,,,,,,,,,,,,reject
11030001,Middle Arkansas,2.08576469320594,11,13,27071.0,07139000,False,False,likely corridor (max gage drain >=5000 mi2),interior,,,,,,,,,,,,,,,reject
11040002,Upper Cimarron,,0,3,2899.0,07155590,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
11120101,Middle Canadian,,0,2,2075.0,07296100,True,False,,interior,,,,,,,,,,,,,,,reject_rsr
13010001,Rio Grande Headwaters,,0,9,1320.0,08220000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
14010001,Colorado Headwaters,,0,110,4558.0,09072500,marginal,False,,western,,,,,,,,,,,,,,,reject_rsr
14020001,Blue River,1.8013511271801776,4,19,476.0,09110000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
14050001,Upper Green,0.3111767382887954,21,57,2128.0,09247600,True,False,,western,6319,0.5699944328717466,49.92115351082773,288.6793731563593,0.060610856148124705,0.3434087672100016,0.9012534571771181,0.9121658051689197,616.5761455219559,482.03299713406125,0.1965932308492517,0.3920663292175979,59.68153465422946,59.28946832501186,neither_deep_like_potomac
16010101,Upper Bear,1.1470106774464717,8,23,1616.0,10026500,True,False,,western,,,,,,,,,,,,,,,reject_rsr
17040201,Snake Headwaters,1.123220065611646,6,14,9536.0,13057160,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
17040202,Gros Ventre,1.2343811567534189,4,15,656.0,13044000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12030106,Upper Guadalupe,,0,18,1256.0,08062000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12040101,Upper Colorado (TX),,0,11,2800.0,08071500,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12050101,Upper Brazos,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12050201,Double Mountain Fork Brazos,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12070102,Upper Nueces,,0,4,1009.0,08110000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
12090301,Upper Trinity,,0,14,41640.0,08161000,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
12100201,Upper Sabine,,0,14,1315.0,08167500,True,False,,western,,,,,,,,,,,,,,,reject_rsr
13010101,Upper Rio Grande-Elephant Butte,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
13010201,Red (NM headwaters),,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
13020101,Rio Chama,,0,78,14360.0,08313150,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
13020201,Upper Pecos,,0,28,16100.0,08319000,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
13020202,Hondo-Sacramento,,0,7,1038.0,08329000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
13030101,Jemez,,0,1,29450.0,08361000,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
13050101,Mimbres,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
14010002,Gunnison Headwaters,,0,41,645.0,09057520,True,False,,western,,,,,,,,,,,,,,,reject_rsr
14010003,Upper Colorado-Dolores,,0,36,945.0,09070000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
14010005,Upper San Juan,,0,82,17849.0,09163500,False,True,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
14020003,Upper White,,0,7,1061.0,09119000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
14020004,Upper Yampa,,0,30,969.0,09136100,True,False,,western,,,,,,,,,,,,,,,reject_rsr
14050002,Blacks Fork,,0,10,7931.0,09260050,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
14060001,Lower Green,,0,1,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
15010001,Upper Colorado (LC region),,0,5,141600.0,09402500,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
15010002,Paria,,0,9,149316.0,09404200,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
15010003,Upper Virgin,,0,10,2367.0,09403850,True,False,,western,,,,,,,,,,,,,,,reject_rsr
15020001,Lower Colorado-Little Colorado headwaters,,0,16,790.0,09384600,True,False,,western,,,,,,,,,,,,,,,reject_rsr
15030101,Upper Gila,,0,8,173300.0,09423000,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
15030201,Upper Salt,,0,4,2742.0,09424450,True,False,,western,,,,,,,,,,,,,,,reject_rsr
15030301,Upper Verde,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
16010201,Upper Humboldt,,0,20,3970.0,10075000,marginal,False,,western,,,,,,,,,,,,,,,reject_rsr
16030001,Upper Carson,,0,10,2390.0,10190500,True,False,,western,,,,,,,,,,,,,,,reject_rsr
16050101,Walker,,0,44,54.9,10336610,True,False,,western,,,,,,,,,,,,,,,reject_rsr
16060102,Owens Valley,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
16060103,Upper Owens,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
16060107,Upper Owens headwaters,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
17010101,Upper Klamath,,0,15,10179.0,12303000,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
17050101,Upper John Day,,0,49,35800.0,13154500,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
17060101,Upper Deschutes,,0,2,73800.0,13290500,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
17070101,Upper Willamette,,0,6,214000.0,14019200,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
17080101,Upper Rogue,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
17090101,Upper Umpqua,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
18010201,Upper Sacramento,,0,9,3030.0,11502500,marginal,False,,western,,,,,,,,,,,,,,,reject_rsr
18010202,McCloud-Pit,,0,5,1565.0,11501000,True,False,,western,,,,,,,,,,,,,,,reject_rsr
18020101,Upper San Joaquin,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
18020104,Upper Merced,,0,15,14535.0,11391000,False,False,likely corridor (max gage drain >=5000 mi2),western,,,,,,,,,,,,,,,reject
18020107,Upper Kings,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
18020110,Upper Kern,,0,0,,,True,False,,western,,,,,,,,,,,,,,,reject_rsr
18070101,Upper Salinas,,0,13,188.0,11118500,True,False,,western,,,,,,,,,,,,,,,reject_rsr
