huc8,site_id,i,j,sim_m3s,obs_lt,drain
05080001,03266000,3256,1738,23.855538651537955,21.04834185111518,650.0
05080001,03266500,3295,1798,0.3972471410166041,,7.31
05080001,03266560,3293,1786,1.7888868135359461,1.4049183339791775,36.6
05080001,03267000,3291,1770,6.986754953289795,5.671537811587519,162.0
05080001,03267500,3292,1759,10.770420970022782,,264.0
05080001,03267600,3291,1759,1.7862910356065123,,24.0
05080001,03267700,3295,1755,1.7862910356065123,,18.2
05080001,03267800,3292,1756,10.944799081201781,,307.0
05080001,03267900,3292,1754,11.227769087637407,10.817185023672138,310.0
05080001,03267950,3302,1760,1.6328872454334447,,30.5
05080001,03267960,3302,1760,1.6328872454334447,,28.7
05080001,03268000,3301,1759,2.340112660318048,,65.3
05080001,03268500,3298,1753,1.5336543797060387,,39.2
05080001,03269000,3294,1751,5.328166505552331,,139.0
05080001,03269500,3288,1749,18.51404214176416,17.149609564944004,490.0
05080001,03269817,3276,1739,22.55727755547419,,582.0
05080001,03270000,3274,1732,23.907879303104504,22.624682320170407,635.0
05080001,394653084072100,3271,1731,24.323839999832632,,
05120101,03322485,3222,1805,9.437480332384316,3.0731279293207985,113.0
05120101,03322500,3203,1806,18.400441554025257,,262.0
05120101,03322900,3183,1811,27.204319572340324,14.687892298317754,453.0
05120101,03322985,3173,1819,31.047986398272393,17.43047789502071,508.0
05120101,03323000,3170,1820,32.43698077677692,21.14220403017886,532.0
05120101,03323500,3142,1828,41.00247187258536,17.491908504973512,721.0
05120101,03323587,3159,1849,1.3458327186930394,0.5996001380385501,14.4
05120101,03324000,3148,1834,7.320754888413306,8.390360468228772,263.0
05120101,03324095,3133,1829,53.31644183736666,,1098.0
05120101,03324112,3130,1825,54.02712917739749,,1130.0
05120101,03325000,3117,1818,81.89001105524441,57.038329731515326,1768.0
05120101,03327500,3098,1811,125.9658897598768,87.74455478512014,2686.0
05120101,03327503,3095,1817,39.85640361216497,,2.0
05120101,03327507,3090,1811,127.46513616725007,0.35472636548571124,11.1
05120101,03327520,3096,1802,6.962497547609984,4.63968107440621,159.0
05120101,03327528,3085,1808,8.165563059619178,,189.3
05120101,402913084285400,3232,1802,1.0333662270960875,0.5480711530469696,16.4
05120101,402958084363300,3220,1803,2.4647713737668893,0.43227170922146546,11.4
05130101,03400800,3399,1420,3.610048547256486,3.249945323620999,55.8
05130101,03400986,3390,1428,7.135222071257444,6.8094676485816725,119.0
05130101,03400990,3391,1429,16.48257333079084,14.144307220929214,222.0
05130101,03401000,3388,1429,23.830750769653594,21.267867562142968,374.0
05130101,03401450,3359,1398,2.5777616439476323,93.13243178569769,15.5
05130101,03402000,3362,1405,4.950500901569581,3.569852755915526,60.6
05130101,03402500,3362,1412,49.479513649370595,,676.0
05130101,03402900,3360,1414,49.479513649370595,39.44108737716289,770.0
05130101,03403000,3353,1418,59.53920007253324,51.075434947723146,809.0
05130101,03403500,3339,1423,62.69868899224655,51.11930918391546,960.0
05130101,03403718,3328,1375,0.07049404652263427,,1.07
05130101,03403910,3327,1394,22.514191331546872,16.311374441228264,331.0
05130101,03404000,3321,1405,108.90926108591977,79.96795427829815,1607.0
05130101,03404500,3303,1415,133.0083864750304,110.22485531159127,1977.0
05130101,03404820,3319,1430,9.152910826669814,7.6931598036766085,140.0
05130101,03404900,3324,1426,2.6268456548623518,2.6876075080602324,53.8
05130101,03405000,3319,1430,9.152910826669814,,201.0
05130101,03406000,3318,1450,0.3744682962597041,,3.89
05130101,03407100,3293,1415,0.02660139596410859,,0.67
05130101,03410590,3287,1396,3.225825874012632,3.323502731315044,59.8
05130101,03410600,3288,1399,80.3270914001818,61.08818374448436,1083.0
05130105,03414500,3252,1358,14.736195285983364,11.93763834964783,202.0
05130105,03415000,3239,1355,11.974850329831682,5.065894828467867,115.0
05130105,03415500,3238,1370,36.64895284423537,,445.0
05130105,03416000,3244,1374,9.114561816972703,5.217899073882642,106.0
05130105,03417000,3213,1367,75.480001589029,50.02319869528736,936.0
06010102,03471500,3537,1446,5.83478518728179,3.212245038554715,76.6
06010102,03472500,3526,1433,4.443795427709274,,55.6
06010102,03472515,3515,1414,0.12109103128783077,0.02788859798613333,
06010102,03473000,3521,1431,13.82440830239711,14.13629470250324,303.0
06010102,03473500,3559,1463,0.23459904550190203,,7.4
06010102,03474000,3537,1452,8.017715995263165,4.627273841381417,132.0
06010102,03474500,3532,1448,8.968991332866802,,153.0
06010102,03475000,3522,1438,22.07308761172508,7.398342198940179,206.0
06010102,03476500,3502,1413,48.664350036141535,,703.0
06010102,03477000,3488,1406,54.79889696793099,,813.0
06010102,03477500,3498,1426,0.6606626368109474,,13.7
06010102,03478400,3493,1420,2.8499600028943126,0.976358383153264,26.9
06010102,03478500,3493,1419,2.9494702776458666,,44.8
06010102,03487499,3462,1407,142.1957835825421,,
06010102,03487500,3464,1405,139.12717760399772,,1935.0
06010102,03487501,3462,1406,142.12175581966278,,
06010102,03487550,3468,1409,2.9886051539272542,,36.3
06010104,03490350,3447,1403,191.7696968544675,118.06251119898354,2819.0
06010104,03490500,3438,1396,194.13819617035978,,2870.0
06010104,03491000,3430,1390,2.208350605680014,1.6733369704580459,47.3
06010104,03491300,3436,1388,2.3432792614641937,,47.0
06010104,03491500,3427,1383,201.4434727843507,,3035.0
06010104,03491544,3421,1383,203.71039978014838,0.14650457053986926,4.67
06010104,03492006,3408,1363,215.08878302734246,,5.09
06010104,03493000,3393,1348,222.4604375152158,,38.8
06010104,03494000,3388,1354,222.10619769928218,,3429.0
06010104,03495005,3372,1340,3.8424194726627197,3.259799949805677,67.2
06010104,03495405,3369,1343,3.8424194726627197,0.46743200193928036,12.44
06010104,03495500,3362,1333,242.77096721356813,142.78421239052608,3747.0
06020001,03543500,3288,1273,10.865793403322206,6.045821535143188,117.0
06020001,03544000,3285,1269,1217.346704165609,,17460.0
06020001,03544500,3267,1261,4.709481505727941,,50.2
06020001,03566420,3270,1213,0.19571912021391658,1.014320336020283,18.8
06020001,03566525,3252,1230,4.978092567099955,3.4139033525881226,60.55
06020001,03566535,3254,1226,5.2330423936153005,5.336507592219606,74.0
06020001,03566700,3267,1197,10.953306093260352,8.8137883128734,169.0
06020001,03567000,3261,1204,15.073235781700859,,249.0
06020001,03567129,3243,1172,4.1465060815271135,,5.62
06020001,03567340,3258,1199,12.68155408708982,8.088144675889387,148.0
06020001,03567500,3259,1206,33.87152445159237,23.434606081410372,428.0
06020001,03567595,3257,1209,34.55328712420591,,
06020001,03568000,3251,1213,1556.8564779175665,998.377463954037,21400.0
06020001,03568400,3248,1198,4.172105565907877,2.7893240961568124,48.7
06020001,03568782,3236,1172,8.80121972260295,,4.28
06020001,03568933,3237,1190,14.240557762301664,7.136875338373854,146.0
06020001,03569190,3244,1212,1588.1332307276753,0.4765851134085122,5.07
06020002,03544947,3393,1206,0.32971634121574117,0.16880582516181805,1.67
06020002,03544970,3392,1211,3.5459857586239525,3.345071794346398,39.5
06020002,03545000,3392,1215,4.0758427434723234,,45.5
06020002,03545500,3392,1215,4.0758427434723234,,32.4
06020002,03546000,3390,1227,3.800083227170382,,37.6
06020002,03547000,3383,1227,16.037206006860604,,190.0
06020002,03548000,3377,1230,22.11748638070681,,252.0
06020002,03548330,3366,1226,5.436165289297667,2.9862600071706673,83.1
06020002,03548500,3363,1230,27.39635079358209,27.066131540112874,406.0
06020002,03550000,3364,1236,10.452264495294848,7.153418739481065,104.0
06020002,03550500,3374,1205,6.670360802014682,5.100972596445279,74.8
06020002,03551000,3369,1206,7.857479646419852,,21.1
06020002,03551500,3364,1209,11.088140122466566,,27.6
06020002,03552000,3360,1214,11.16250987496975,,16.7
06020002,03552500,3361,1210,16.291764487931413,,191.0
06020002,03553500,3358,1215,17.499999393182943,,215.0
06020002,03554000,3355,1221,22.28191558425697,,272.0
06020002,03555000,3345,1234,84.57777124136267,,968.0
06020002,03556000,3337,1228,94.96176023524173,,26.9
06020002,03556500,3323,1234,97.92180927208534,,1136.0
06020002,03557000,3315,1237,104.68519221618887,,1223.0
06020002,03565000,3304,1233,168.7782857392653,,2001.0
06020002,03565040,3318,1262,2.30612171767509,,14.8
06020002,03565120,3313,1257,7.564002160035829,,37.8
06020002,03565160,3312,1259,7.317363632029512,,32.7
06020002,03565250,3306,1245,11.678281642739945,,114.0
06020002,03565300,3301,1229,3.5665308091659975,,31.8
06020002,03565500,3299,1243,7.297246716297344,2.8300970201023734,57.0
06020002,03566000,3293,1242,197.35316221615852,121.72353263835335,2298.0
06030001,03571850,3215,1199,1679.8245170847563,,22640.0
06030001,03572110,3197,1187,10.928374163778201,9.262278318056186,131.0
06030001,03572153,3196,1179,3.6910077035720965,1.7513817842323405,29.2
06030001,03572690,3202,1143,3.4671307666442552,2.5284263502092097,44.1
06030001,03572900,3199,1127,7.37979721769476,,141.0
06030001,03573000,3186,1116,6.483609736069529,,91.6
06030001,03573182,3187,1117,4.285766261351085,2.346896761585707,50.0
06030001,03573500,3172,1123,1791.552414142235,,24340.0
07010101,05200445,2361,2472,1.8594224495772687,4.282516195795862,358.0
07010101,05200450,2360,2467,0.8470436159614892,,165.0
07010101,05200510,2373,2475,2.0146542581839126,8.930938555411116,610.0
07010101,05207600,2434,2458,26.389623119467696,30.82706701867111,2850.0
07010104,05227500,2451,2374,76.2821174290438,84.38762970722298,6140.0
07010104,05227530,2452,2383,68.67532990984007,22.584527238039982,
07010104,05241500,2435,2374,79.83434836334904,,8.38
07010104,05242300,2417,2358,87.7751342354441,103.20951226583968,7320.0
07010104,05261000,2404,2336,130.3430943958338,158.86494029882442,11000.0
07020001,05289985,2209,2259,0.03352715950732608,0.10996958193767298,12.2
07020001,05290000,2217,2273,1.8815048221319126,2.7904033000370077,436.0
07020001,05291000,2245,2237,0.000178350807177051,3.055291945003991,398.0
07020001,05292000,2248,2239,2.593772092517564,7.600017948823645,1160.0
