domain,L,metric,kind,covar,covar_label,rho,p,n
potomac2,10,WTD,persistent,HAND,HAND,0.19030883369536739,5.485117677365198e-31,3613
potomac2,10,WTD,persistent,rel_elev,Rel. elevation,0.18529850232639702,1.9880767731745514e-29,3613
potomac2,10,WTD,persistent,slope_mag,Slope,0.2629888037969332,6.341119582309467e-59,3615
potomac2,10,WTD,persistent,baseline_WTD,Baseline WTD,0.30239800880231105,1.5859343339123222e-78,3615
potomac2,10,WTD,persistent,local_recharge_base,Local recharge (base),0.19917492634784156,7.098998600355549e-34,3615
potomac2,10,WTD,persistent,recharge_anom_rec1_10yr,"Δ recharge (rec. yr1, 10yr)",0.19034841621010157,5.133848453436717e-31,3615
potomac2,10,WTD,persistent,PME_static,Static PME,-0.061824918378937825,0.0001988937060465831,3615
potomac2,10,WTD,persistent,porosity_col,Porosity (col.),-0.04525957471963389,0.006489672947653431,3615
potomac2,10,WTD,persistent,log10_K_col,log₁₀ K (col.),-0.01895111842136413,0.2546626900915441,3615
potomac2,10,WTD,persistent,log10_K_top,log₁₀ K (top),-0.18069242427422977,4.7608988558032085e-28,3615
potomac2,10,WTD,persistent,flowbarrier_min,Flow barrier (min),0.016718256334770445,0.31496453673130165,3615
potomac2,10,WTD,persistent,sand_frac,Sand fraction,0.05514431304403528,0.0009201816789443862,3607
potomac2,10,WTD,persistent,clay_frac,Clay fraction,-0.06143928657904708,0.00022157509990143373,3607
potomac2,10,WTD,persistent,mannings,Mannings,0.18062042345594134,5.002532510666816e-28,3615
wolf2,1,storage,temporary,dist_to_stream,Dist. to stream,0.17300255149451368,4.751889955831015e-11,1420
wolf2,1,storage,temporary,HAND,HAND,-0.29193237932893185,1.0637596745460188e-29,1420
wolf2,1,storage,temporary,rel_elev,Rel. elevation,-0.020367028717048645,0.44321034954011246,1420
wolf2,1,storage,temporary,slope_mag,Slope,0.12463325868686603,2.2890395225702836e-06,1426
wolf2,1,storage,temporary,baseline_WTD,Baseline WTD,-0.04837593679023156,0.06780581564165118,1426
wolf2,1,storage,temporary,local_recharge_base,Local recharge (base),-0.4287061583051019,5.7234525440502855e-67,1426
wolf2,1,storage,temporary,PME_static,Static PME,0.24256225244831395,9.988808421345712e-21,1426
